STOK_KODU;CARISTOK_KODU;Parça No;Parça No1;Parça No2;Buffer;Depo;Pasif
00800-200;205680-0;205680-3;;AG207786;Kalacak;;
00801-200;208033-0;208033-3;;;;;
00802-200;381561-0;381561-3;;AG381561;Kalacak;;
00803-200;381562-0;381562-3;;;Kalacak;;
00804-200;381563-0;381563-3;;AG381563;Kalacak;;
00806-200;391676-0;391676-3;;AG391675;Kalacak;;
00807-200;430192-0;;;AG430189;Kalacak;;
00808-200;430191-0;;;AG430189;Kalacak;;
00809-200;388430-0;;;AG381563;Kalacak;;
00810-200;388429-0;;;;Kalacak;;
00811-200;388428-0;;;AG381561;Kalacak;;
00812-200;430190-0;;;AC 430189;Kalacak;;
00813-200;498529-0;;;AG 498530;Kalacak;;
00841-200;550543-0;;;AC550543;Kalacak;;
00842-200;550544-0;;;AC550544 ;Kalacak;;
00843-200;550542-0;;;AC550542;;2;
00844-200;550541-0;;;AC550541;Kalacak;;
00845-200;550570-0;;;AG550570;;2;
00847-200;520616-0;;;520617;;2;
00848-200;520618-0;;;520619;;2;
00920-100;AG469866-0;;;AG469866;Kalacak;;
00924-200;580317-0;;;580317;Kalacak;;
00926-200;611029-0;;AG611029-01;AG611029-01;Kalacak;;
00929-200;580371-0;;;AG580371/2;Kalacak;;
39100-100;39100-100;;;;;;5
39101-100;39101-100-0;;;;;2;
01043-100;776 021.0-0;;;207 376.0;;;5
37100-100;CSTGE01-900EA1_aegis08-3;CSTGE01-900EA1-3;;cstge01-900ea1-1ipt;;;
37101-100;CSTGE01-800EA1-0;CSTGE01-800EA1-3;;cstge01-800ea1-1.ipt;;;
37102-100;CSTGE01-800_750EA1-0;CSTGE01-800_750EA1-3;;01-800_750ea1.;;;
37103-100;CSTGE01-100ER-0;;;cstge01-100ed1ed2_modf.iam;Kalacak;;
37104-100;CSTGE01-100WR-0;;;cstge01-100wa1wd1wd2_mdf.iam;Kalacak;;
37105-100;CSTGE01-200ER-0;;;cstge01-200ed1_mod.iam;Kalacak;;
37106-100;CSTGE01-200WR-0;;;cstge01-200wa1wd1wd2_mod.iam;Kalacak;;
37107-100;CSTGE01-300ER-0;;;cstge01-300ed1_modf.iam;Kalacak;;
37108-100;CSTGE01-300WR-0;;;cstge01-300wa1wd1wd2_mod.iam;Kalacak;;
37109-100;CSTGE01-750DN750WA1B_F25_200061_20;CSTGE01-750EA1-3;;cstge01-750ea1-1.ipt;;;
37110-100;CSTGE01-050ER-0;;;cstge01-050ed1ed2_mod.iam;Kalacak;;
37111-100;CSTGE01-050WR-0;;;cstge01-050wa1wd1wd2wj1_mod.iam;Kalacak;;
37112-100;CSTGE01-080ER-0;;;cstge01-080ed1ed2_mod.iam;Kalacak;;
37113-100;CSTGE01-080WR-0;;cstge01-080wa1wd1wd2_mod.iam;cstge01-080wa1wd1wd2_mod.iam;Kalacak;;
37114-100;CSTGE01-150ER-0;;;cstge01-150ed1ed2_mod.iam;Kalacak;;
37115-100;CSTGE01-150WR-0;;;cstge01-150wa1wd1wd2_mod.iam;Kalacak;;
37116-100;CSTGE01-250ER-0;;;cstge01-250ed1_mod.iam;Kalacak;;
37117-100;CSTGE01-250WR-0;;;cstge01-250wa1wd1wd2wj1_mod.iam;Kalacak;;
37118-100;CSTGE01-1050EA1-0;CSTGE01-1050EA1-3;;cstge01-1050ea1.iam;;;
37119-100;CSTGE01-040ER-0;;;cstge01-040ed1ed2_mod.iam;Kalacak;;
37120-100;CSTGE01-065ER-0;;;cstge01-065ed1ed2_mod.iam;Kalacak;;
37121-100;CSTGE01-065WR-0;;;cstge01-065wa1wd1wd2wj1_mod.iam;Kalacak;;
37122-100;CSTGE01-125ER-0;;;cstge01-125ed1ed2_mod.iam;Kalacak;;
37123-100;CSTGE01-125WR-0;;;cstge01-125wa1wd1wd2wj1_mod.iam;Kalacak;;
37124-100;CSTGE01-350ER-0;;;cstge01-350ea1_mod.iam;Kalacak;;
37125-100;CSTGE01-400ER-0;;;cstge01-400ed1_mod.iam;Kalacak;;
37126-100;CSTGE01-450ER-0;;;cstge01-450ed1_modi.iam;Kalacak;;
37127-100;CSTGE01-500ER-0;;;cstge01-500ed1_mod.iam;Kalacak;;
37128-100;CSTGE01-600ER-0;;;cstge01-600ed1_mod.iam;;;
37129-100;CSTGE01-700EA1_204362_01-3;;;cstge01-700-ed1-1.iam;;;
37130-100;CSTGE01-025EOR-0;;;cstge01-025ea1-mod.iam;Kalacak;;
37131-100;CSTGE01-1000WD1-0;;;cstge01-1000wd.1am;;;
37132-100;CSBGE01-025R-0;;;000008;;;5
37133-100;CSBFB-025PN10-16R-0;;;000016;;;5
37134-100;CSTGE01-300WAOR-1;;;cstge01-300wa1.iam;;2;
37135-100;CSBFB01-025PS16PN10-16R-0;;;000973;;2;
37136-100;CSBGE01-025PS16PN10-16ANSI150R-0;;;003605 - A;Kalacak;;
37137-100;CSTGE01-250FR-0;;;001809/01811;;2;
37138-100;CSBGE01-050PS16PN10-16ANSI150R-0;;;002494;;2;
37139-100;CSBFB01-050PS16PN10-16R-0;;;002496;;2;
37140-100;CSBGE01-040PS16PN10-16ANSI150R-0;;002942;;;2;
37141-100;CSBFB01-040PS16PN10-16R-0;;;002945;;2;
37142-100;CSTGE01-350FR-0;;;003547/003548;Kalacak;;
37143-100;CSTGE01-300FR-0;;;003564/003565;;2;
37144-100;CSBGE01-025PS16PN10-16ANSI150R-0;;;003605_B;Kalacak;;
37145-100;CSBFB01-025PS16ANSI150R-0;;;003617 -A;Kalacak;;
37146-100;CSBFB01-025PS16PN10-16R-0;;;003620 - A;Kalacak;;
37147-100;CSBGE01-050PS16PN10-16ANSI150R;;;004142-B;Kalacak;;
37148-100;CSBFB01-050PS16PN10-16R-0;;;004145;Kalacak;;
37149-100;CSBFB01-050PS16ANSI150R-0;;;004277-A;Kalacak;;
37150-100;CSBGE01-080PS16ANSI150R-0;;;004757_C;;2;
37151-100;CSBGE01-080PS16PN10-16R-0;;;004770-C;Kalacak;;
37152-100;CSBFB01-080PS16ANSI150R-0;;;004766_A;;2;
37153-100;CSBFB01-080PS16PN10-16R-0;;;004762_A;;2;
37154-100;CSBGE01-040PS16PN10-16R-0;;;004956-A;;2;
37155-100;CSBGE01-040PS16ANSI150R-0;;;004990-A;Kalacak;;
37156-100;CSBFB01-040PS16PN10-16R-0;;;004959;;2;
37157-100;CSBFB01-040PS16ANSI150R-0;;;004987;Kalacak;;
37158-100;CSBGE01-100PS16PN10-16R-0;;;004928-B;;2;
37159-100;CSBGE01-100PS16ANSI150R-0;;;004934-B;Kalacak;;
37160-100;CSBFB01-100PS16PN10-16-R-0;;;004931-B;;2;
37161-100;CSBFB01-100PS16ANSI150R-0;;;004937-B;Kalacak;;
37162-100;CSBGE01-150PS16ANSI150R-0;;;005089-B;Kalacak;;
37163-100;CSBFB01-150PS16ANSI150R-0;;;005092-B;Kalacak;;
37164-100;CSBGE01-150PS16PN10-16R-0;;;005097-B;;2;
37165-100;CSBFB01-150PS16PN10-16R-0;;;005100-B;;2;
37166-100;CSTGE01-400FR-0;;;005562/005563;;2;
37167-100;CSTGE01-500FR-0;;;005575/005576;;2;
01074-100;2670 192.2-0;;;2670 503.1;Kalacak;;
01010-100;02084880-0;;;7448340;;;5
01011-200;207497.2-0;;;207497.2;Kalacak;;
01012-200;207498.1-0;;;207498.1;Kalacak;;
01013-100;02074210-0;;;0207421.0;Kalacak;;
01015-100;07761453-0;;;207235.0;;2;
01016-100;07761306-0;;;207234.1;Kalacak;;
01017-100;07761316-0;;;207241.1;Kalacak;;
01217-100;286901-0;;;403.702-60.250.00-01/01-02;;;5
01019-100;207460.0-0;;;0207460.0;Kalacak;;
01023-200;02071252-0;;5888273;0207125.2;Kalacak;;
01024-200;02071621-0;;;5887144;Kalacak;;
01025-200;02071233-0;;;0207123.4;Kalacak;;
01026-100;0207483.4-0;;;0207483.4;Kalacak;;
01026-200;0207483.2-0;;;0207483.2;;2;
20272-200;0423 3644-0;0423.0895.UC;;;;;5
01030-100;02077520-0;;;2627040;Kalacak;;
01032-200;02100302-0;;;210030.2;;2;
01033-200;02082483-0;;;208248.3;Kalacak;;
01036-200;02213250-0;;;17035520;;;5
01037-200;7768470-0;;;207 389.0;Kalacak;;
01039-200;0207127.1-0;;;0207 127.1;;2;
01040-100;17003291-5;#YOK;#YOK;#YOK;;;
20300-200;0415 6571-0;0415 6572 RY 0150-02;;04156572;;;5
20302-200;0425 1940-0;0425 1939 RY 0130-02;;;;;5
01044-100;221 410.0-0;;;221 410.0;Kalacak;;
01045-100;221 441.0-0;;;221 441.0;Kalacak;;
01046-100;0221 464.0-0;;;0221 464.0;Kalacak;;
01047-100;0221 465.1-0;;;0221 465.1-0;Kalacak;;
01049-100;0207482.3-0;;;0207482.3;Kalacak;;
01049-200;0207482.2-0;;;0207482.2;;2;
01052-200;221450.0-0;;;221450.0;Kalacak;;
01053-200;207 499.2-0;;;207 499.2;Kalacak;;
01057-100;2643 985.1-0;;;2643 985.1;Kalacak;;
01066-100;210 350.0-0;;;0260 749.0;;2;
01067-100;221 615.3-0;;;0221 615.3;Kalacak;;
01067-200;0221 615.2-0;;;0221 615.0;;2;
01068-100;221 614.3-0;;;0221 614.2;Kalacak;;
01068-200;0221 614.1-0;;;0221 614.1;;2;
01078-200;1705 266.1-0;;;1705 266.2;Kalacak;;
01079-200;210 351.0-0;;;210351.0;;2;
01083-200;1705 261.2-0;;;1705 261.1/1705262 ;Kalacak;;
01086-100;191134.1-0;;;191134.1;;2;
01087-100;191001.1-0;;;191001.1;;2;
01090-100;2700 295.0-0;;;2700 295.0;Kalacak;;
01091-100;0207 556.0-0;;;0207 556.0;Kalacak;;
01092-100;2717 898.0-0;;;2717 898.0;Kalacak;;
01097-100;0210 245.1-0;;;0210 245.1;Kalacak;;
01098-100;191 068.4-0;;;0191 068.4;;2;
01099-200;208 421.0-0;;;208 421.0;Kalacak;;
01101-100;0193 877.1-0;;;0193 877.1;;2;
01103-100;0207 127.2-0;;;0207 127.2;Kalacak;;
01104-100;2643 985.1 -0;;;2643 985.1;Kalacak;;
01106-100;2728 318.0-0;;;2728 318.0;Kalacak;;
01107-100;2674 908.0-0;;;2674 908.0;Kalacak;;
01108-200;221 555.2-0;;;221 555.2;Kalacak;;
01109-200;221 556.1-0;;;221 556.1;Kalacak;;
01110-100;2778 493.0-0;;;2778 493.0;;2;
01115-100;2792 043.0-0;;;2792 043.0;Kalacak;;
01119-100;1705 264.3-0;;;1705 264.3;Kalacak;;
01119-200;1705 264.2-0;;;1705 264.2;;2;
01125-100;2906 469.1-0;;;2906 469.1;Kalacak;;
01126-100;2906 471.2-0;;;2906 471.2;Kalacak;;
01127-100;2917 694.2-0;;;2917 694.2;Kalacak;;
01131-100;2919 576.0-0;;;2919 576.0;Kalacak;;
01132-100;2937 101.3-0;;;2937 101.3;Kalacak;;
01133-100;2937 103.2-0;;;2937 103.2;Kalacak;;
01142-200;3020 724.2-0;;;3020 724.1-C;Kalacak;;
01143-200;0207 390.0-0;;;0207 390.0;;2;
01144-200;2939 017.0-0;;;2939 017.0;Kalacak;;
01150-200;2952 824.0-0;;;2952 824.0;Kalacak;;
01167-100;3067 634.0-0;;;3067 634.0;Kalacak;;
01168-100;3067 625.1-0;;;3067 625.1;Kalacak;;
01169-100;2297 309.0-0;;;2297 309.0;Kalacak;;
01171-100;207 382.0-0;;;207 382.0;Kalacak;;
01172-100;207 493.0-0;;;207 493.0;Kalacak;;
01173-100;0210 245.1-0;;;0210 245.1;;;
01174-100;3129 328.0-0;;;3129 328.0;Kalacak;;
90000-100;DENEME-3;;;;;;
01147-100;2924 833.2-0;;;2924 833.2;Kalacak;;
01054-100;221 276.0-0;;;221 276.0;Kalacak;;
01058-100;1807 172.1-0;;;0221 275.0;Kalacak;;
01064-100;0221 282.0-0;;;0221 282.0;Kalacak;;
01069-200;2653 654.2-0;;;002670489;Kalacak;;
01070-100;2669 835.2-0;;;2672 299.0;Kalacak;;
01071-100;2669 847.0-0;;;2669 877.0;Kalacak;;
01072-100;2669 854.0-0;;;2671 183.0;Kalacak;;
01073-100;2669 862.0-0;;;2672 362.0;Kalacak;;
01081-100;2657 006.0-0;;;2657 006.0;Kalacak;;
01082-100;2657 076.0-0;;;2657 076.0;Kalacak;;
01084-100;2659 362.0-0;;;2659 362.0;Kalacak;;
01102-100;0221 088.0-0;;;0221 088.0;;2;
01105-100;2727 162.0-0;;;2727 162.0;Kalacak;;
01111-100;2757 187.0-0;;;2757 187.0;;2;
01112-100;2757 186.0-0;;;2757 186.0;;2;
01113-200;2793 476.0-0;;;2793 476.0;;2;
01114-200;2793 487.0-0;;;2793 487.0;Kalacak;;
01116-100;2739 288.0-0;;;2739 288.0;Kalacak;;
01117-100;2905 647.0-0;;;2905 647.0;Kalacak;;
01118-100;2905 644.0-0;;;2905 644.0;Kalacak;;
01120-100;0223 536.1-0;;;0223 536.1;;2;
01121-200;2791 493.0-0;;;2791 493.0;Kalacak;;
01122-100;2913 628.0-0;;;2913 628.0;Kalacak;;
01123-100;2659 361.1-0;;;2659 361.1;Kalacak;;
01124-100;2685 789.0-0;;;2685 789.0;Kalacak;;
01130-100;2629 256.0-0;;2629 256.0;2629 256.0;Kalacak;;
01134-200;0500 507.0-0;;;201_03_02_00_000-0/05005070;;;
01136-200;0223 511.0-0;;;0223 511.0;;;
01138-100;0123 085.2-0;;;2971 080.0 ;Kalacak;;
01139-100;0123 850.2-0;;;2975 737.0 ;Kalacak;;
01140-100;0123 891.1-0;;;2975 740.0 ;Kalacak;;
01141-200;0124 252.0-0;;;0221 136.0 ;Kalacak;;
01145-100;2925 562.0-0;;;2925 562.0;Kalacak;;
01146-200;2686 808.1-5;#YOK;#YOK;#YOK;;;
01155-100;2269 607.0-0;;;2269 607.0;Kalacak;;
01156-100;2269 646.0-0;;;2269 646.0;Kalacak;;
01159-100;2269 695.0-0;;;2269 695.0;Kalacak;;
01161-100;3005369.0-0;;;3005369.0;Kalacak;;
01162-100;3005376.0-0;;;3005376.0;Kalacak;;
01164-200;3071 049.0-5;#YOK;#YOK;#YOK;;;
01165-100;3068 382.0-0;;;3068 382.0;Kalacak;;
01166-100;3090 608.0-0;;;3090 608.0;Kalacak;;
01170-100;3055 523.1-0;;;3055 523.1;Kalacak;;
01001-100;11287970-0;;;1128797.2F;;2;
01006-100;2244 678.1-0;;;2244 678.1;Kalacak;;
01009-100;2169092.2A-0;;;9012583;Kalacak;;
01020-100;06650530-0;;;0221084.0;Kalacak;;
20312-200;0423 5824-0;0423 5824-3;;04235825;;;5
01022-100;05542340-0;;;0209203.0;;2;
01028-100;07649950-0;;;207 001.0;Kalacak;;
01061-200;2179 076.4-0;;;2179076.4;Kalacak;;
01063-200;2190 301.3-0;;;2190301.3;;2;
01065-100;221 046.1-0;;;221 046.1;;2;
01080-200;2670 827.0-0;;;2670 827.0;;2;
01128-200;2673 622.0-0;;;2673 622.0;Kalacak;;
01129-100;2791 492.1-0;;;2791 489.1 ;Kalacak;;
01137-100;0123 084.2-0;;;0123 084.2/2971070.0 ;Kalacak;;
01154-200;2277 495.0-0;;;2277 495.0;Kalacak;;
01163-200;3070 791.1-0;;;3070 791.1;Kalacak;;
01000-100;21628023C-0;2162 802.2-3;;250413;Kalacak;;
01002-100;21690900-0;21690900;;9012582;Kalacak;;
01007-100;2171 663.2-0;;;2171 663.2;Kalacak;;
01008-100;2171 661.2-0;;;2171 661.1;Kalacak;;
01034-100;002623076.0-5;#YOK;#YOK;#YOK;;;
01055-200;2766 502.0-0;;;2766 502.0;Kalacak;;
01056-200;2651 461.0-0;;;2651 461.0;Kalacak;;
01059-200;2178 991.5-0;;;2178991.5;Kalacak;;
01060-200;2179 078.4-0;;;2179078.4;Kalacak;;
01062-200;2178 989.3-0;;;2178989.3;Kalacak;;
01075-200;1263 224.0-0;;;2239127.2;;2;
01076-200;1263 228.0-0;;;2239688.2;;2;
01077-200;1263 229.0-0;;;2239694.2;;2;
01085-100;2729 082.6-0;;;2729 082.6;Kalacak;;
01093-100;2712797.2-0;;;4369683;Kalacak;;
01094-100;2707905.2-0;;;4369684;Kalacak;;
01095-100;2736 535.0-0;;;002736535.0;Kalacak;;
01096-100;2737 062.2-0;;;2737 062.1;Kalacak;;
01151-100;2992 896.1-0;;;2992 896.1;Kalacak;;
01152-200;2249 413.1-0;;;2249 413.1;Kalacak;;
01153-100;2273 172.0-0;;;2273 172.0;Kalacak;;
01157-100;2280144.2-0;;;2280144.2-B;Kalacak;;
01158-100;2280087.2-0;;;2280087.2-C;Kalacak;;
00415-200;91701319-0;;;91701319;Kalacak;;
00512-200;829598660-0;829598660-3;;;;;5
00515-200;86587291-0;86587291-3;;;;;
00516-200;86587292-0;86587292-3;;;;;
00520-100;5162541.9-0;;;5162541.9;Kalacak;;
00521-100;82015955-0;;;82015955;Kalacak;;
00542-200;84420412-0;;;;Kalacak;;
00543-200;84384936-0;;;;Kalacak;;
00544-100;84390403-0;;;84390403;Kalacak;;
00546-200;84389950-0;;;;;2;
00547-200;84388976-0;;;;;;5
00624-200;48096767-0;;;48096767;Kalacak;;
00625-200;48096777-0;;;48096777;Kalacak;;
00626-200;48096783-0;;;48096783;Kalacak;;
00628-200;51443848-0;;;51443848 B;;;5
00631-200;51484755-0;;;51484755 C;;2;
00633-100;47981564-0;;;47981564 D;Kalacak;;
00634-200;51552746-0;;;51552746 A;;;5
00636-200;47978403.9-0;;;47978403;Kalacak;;
00637-200;84267153-0;;;84267153;Kalacak;;
00638-200;87476583-0;;;87476583;Kalacak;;
34188-100;34060PH801_AN15-0;;;019271;;;5
00640-200;87499424-0;;;87499424;;2;
00641-200;91766637-0;;;91766637-A;Kalacak;;
00643-200;51422498-0;;;51422498-D;;;
00761-200;51430281-0;;;51430281-E;Kalacak;;
00762-100;84581268-0;;;84581268-A;Kalacak;;
00766-200;84453124-0;;;84453124-D;Kalacak;;
00500-200;47127211-0;47127211-3;;;;;5
00513-200;829598880-0;829598880-3;;829598880;;;5
00517-200;860248000-0;860248000-3;;86024800.9/ 82959861 ;;2;
00518-200;860251000-0;860251000-3;;82959885 ;Kalacak;;
00519-200;87307353-0;87307353-3;;87307353.9;;;5
00400-200;84410922-0;;;;;;
00402-100;84410913-0;;;;;;
00404-100;47659748-0;;;;;2;
00406-200;5199308-0;;;5177533 X;Kalacak;;
00407-200;5183062-0;;;47124535;;;
00408-200;5183063-0;;;47124534;;;
00409-200;87325015-0;;;;Kalacak;;
00728-100;CE19680-0;;;CE19680-D;Kalacak;;
00417-100;90446724-0;;;90446724-D;Kalacak;;
00451-200;47383527-0;;;47383527-D;Kalacak;;
00452-200;47901137-0;;;47901137-D;Kalacak;;
00501-200;5164731-0;5164731-3;;5164731.9;Kalacak;;
00502-200;449135010-0;;;;;;
00503-200;449135070-0;;;;;;
00504-200;0049135140-0;;;;;;
00505-200;449135150-0;;;;;;
00506-200;449135190-0;;;;;;
00507-200;44913501-0;;;5176899;Kalacak;;
00508-200;87380296-0;87343538;87343538;87358977;Kalacak;;
00509-200;44913514-0;;;5168478;;2;
00510-200;44913515-0;;;;;;
00511-200;87363549-0;87343558;87343558;87363549;;;5
00514-200;47135687-0;47135687-3;;47135687.9;;;5
00524-200;84330982-0;843309820-3;;;;2;
00525-200;843388380-0;843388380-3;;;;;
00526-100;84486562-0;84486562-3;;;;;5
00527-100;843150690-0;843150690-3;;84315069-F;Kalacak;;
00529-100;478933270-0;;;47983997;;2;
00530-200;47449054-0;;;47449054-Rev C;;2;
00531-200;47447882-0;;;;;2;
00532-100;47983990-0;;;;;2;
01200-100;179484-0;;;394.056-01.001.55-11/05;Kalacak;;
00534-200;48012110-0;;;48012110;Kalacak;;
00537-200;84479218-0;;;84479218-C;Kalacak;;
00538-200;84577976-0;;;84577974;Kalacak;;
00539-200;87350022-0;;;87350020;;2;
00548-200;47918870-0;;;47918869;Kalacak;;
00627-100;51541577-0;;;48117922 F ;;;5
00644-200;51620235-0;;;51620235-D;Kalacak;;
00645-200;51620238-0;;;51620238-D;Kalacak;;
00648-100;51662481-0;;;51662481-E;Kalacak;;
00759-200;91723890-0;;;91723890-B;Kalacak;;
00773-100;91767707-0;;;91767707-B;Kalacak;;
00779-200;91785869-0;;;91785869-B;Kalacak;;
00783-200;47818391-0;;;47818391-C;Kalacak;;
00798-100;91850840-0;;;91850840;Kalacak;;
00925-100;92094030-0;;;92094030;Kalacak;;
00535-200;82026132-0;;;82026132 B;Kalacak;;
00549-200;87725723-0;;;;Kalacak;;
00792-100;92177794-0;;;92177794-B;Kalacak;;
00793-100;92660650-0;;;92660650-B;Kalacak;;
00794-200;91892739-0;;;91892739-G;Kalacak;;
00795-100;92205811-0;;;92205811-A;Kalacak;;
00796-100;92205826-0;;;92205826-A;Kalacak;;
00797-100;92678056-0;;;92678056-B;Kalacak;;
00460-200;92274518-0;;;92274518-B;Kalacak;;
00461-100;92287373-0;;;92287373;Kalacak;;
00767-200;51476680-0;;;51476680-B;Kalacak;;
40022-200;2030688-0; ;;TD2030688-06;;2;
40028-200;2063704-0;;;TD2063704-01;Kalacak;;
40034-200;2080251-0;;;2080251-03;Kalacak;;
40040-200;2066947-0;;;2066947-03;Kalacak;;
40050-200;2080470-0;;;2080470-02;Kalacak;;
40051-200;2080510-0;;;2080510-02;Kalacak;;
40057-200;2089676-0;;;2089676-01;Kalacak;;
40065-200;2100290-0;;;2100290-01;Kalacak;;
40072-200;2028348-0;;;2028348-03;Kalacak;;
40076-200;2031693-0;;;2031693-02;Kalacak;;
40079-200;2090710-0;;;2090710-01;Kalacak;;
40081-200;2123050-0;;;2123050-01;Kalacak;;
40084-200;2145127-0;;;2145127-02;Kalacak;;
40087-200;2030816-0;;;2030816-01;;2;
40115-200;2066334-0;;;TD2066334-02;Kalacak;;
40120-200;2036500-0;;;2036500-02;Kalacak;;
40121-200;2028396-0;;;2028396-03;;2;
40122-200;2048257-0;;;2048257-04;Kalacak;;
40123-200;2031704-0;;;2031704-05;Kalacak;;
40124-200;2034698-0;;;2034698-05;Kalacak;;
40125-200;2036791-0;;;2036791-05;Kalacak;;
40127-200;40127-200;2039040-3;;2034357-04;Kalacak;;
40130-200;2033932-0;;;2033932-04;Kalacak;;
40137-200;2090712-0;;;2090712-02;Kalacak;;
40138-200;2028386-0;;;2028386.4;Kalacak;;
40322-200;2120379-0;;;2120379-01;Kalacak;;
40323-200;2123030-0;;;2123030-01;Kalacak;;
40324-200;2123033-0;;;2123033-01;Kalacak;;
40325-200;2117532-0;;;2117532-02;Kalacak;;
40329-200;2117437-0;;;2117437-01;Kalacak;;
70800-200;CRE4003-0;CRE4003-3;;CRE 4003;;;
70801-100;CKE5001-0;;;CK 5001;;;
70802-100;CRE5031-0;;;C000326;;2;
70803-100;CRE5014-0;;;CRE5014;;;5
70805-100;CRE4014-0;CRE4014-3;;CRE4014;;2;
70806-100;CRE4023-0;;;CRE4023;;;5
70807-100;CRE5003-0;;;CRE5003;;;
70808-100;CKE 4001-0;CKE 4001-3;;CKE4001;;;
70809-100;CRE6001-0;;;CRE6001;;;
70810-100;CRE6002-0;CRE6002-3;;CRE6002;;;
70811-100;CRE2003-0;CRE2003-3;;CRE2003;;;
70812-200;CRE2014-0;CRE2014-3;;CRE2014;;;5
70813-100;CRE4003-0;CRE4003-3;;CRE 4003;;;
70814-100;C000326-0;;;CRE 51-6/CKE 51-6;;;5
70815-100;CRE6003-0;;;CRE6003-B;;2;
85000-200;85000-200-0;;;;;;
30141-100;700620045-3;700620045-3;;43.05.23 A;;;
34293-200;4180C06010-0;;;S27/080-129;;;5
34417-100;4T15P49510-0;;;010857-4T15P49510-03;;;5
01600-100;10201515-0;;;10201515-B;Kalacak;;
30600-100;30600-110;#YOK;#YOK;#YOK;;;
30601-100;30601-110;#YOK;#YOK;#YOK;;;
30602-100;30602-110;#YOK;#YOK;#YOK;;;
33500-100;366.188.515-0;;;;;;5
33501-100;366.188.529-0;;;;;;5
33502-100;366.194.102-0;;;;;;5
20271-200;0423 4094-0;0224.2071.EA;;;;;
20273-200;0410 2949-0;0410 2950-3;;0410 2949;Kalacak;;
34516-100;4S30P0A010-0;;;010440;;;5
34517-100;4S30P0B010-0;;;010433;;;5
20303-200;0425 3928-0;0425 3929 RY 0131-02;;;;;
20304-200;0420 7189-0;0420 7188 RY 0130-02;;0420 7188;Kalacak;;
20305-200;0420 7191-0;0420 7190 RY 0130-02;;0420 7190;;;
20307-200;0423 4026-0;0423 4019 RY 0150-02;;04234019;Kalacak;;
20308-200;0425 3240-0;0425 3240-3;;0425 3241 RY 0131-02;;;5
20309-200;0417 4219-0;0417 1308-3;;0417 4219R ;Kalacak;;
20310-200;0425 3546-0;0425 3546-3;;0425 3547 RY 0130-02;;;5
20311-200;0425 6927-0;0425 6927-3;;0425 6919 RY 0131-02;Kalacak;;
34518-100;4S40P0A010-0;;;010437;;;5
20314-200;0428 6025-0;0428 6024-3;;0428 6025;Kalacak;;
20315-200;0450 1298-0;0450 1298-3;;0450 1299 ;Kalacak;;
20316-200;0413 3540-0;0413 3540-3;;04133539;;;5
20317-200;0413 3535-0;0413 3535-3;;04133534;;;5
20351-200;0428 1135-0;0428 1135-3;;;;;
20354-200;0491 1017 EA-0;0491 1017 EA-3;;0491 1017EA;;;5
20356-200;0491 6769-0;;;04916769;;2;
20270-200;0423 4059-0;0224.2050 EA;;;;;
00418-200;91717170-0;;;91717170;Kalacak;;
00419-200;91716609-0;;;91716609;Kalacak;;
00528-200;84475933-0;;;84475933-E;Kalacak;;
00839-100;51605619-0;;;51605619A;Kalacak;;
01050-100;51569494-0;;;51569494;;2;
32348-100;THV-01-0025-40-30-0;;;;;;
32357-100;MSV-03-0080-40-02-0;;;;;;5
32425-100;NCC-15-0050-40-0;;;;;;5
32427-100;NCC-15-0065-40-0;;;;;;
32448-200;SH-14-0;;;;;;
32457-100;NCC-02-0065-40-30-0;;;;;;
32459-100;NCC-15-0080-40-0;;;;;;5
32666-200;316L510A-0;;;;;;5
32758-100;MSV-03-0150-40-02-0;;;;;;5
32770-100;PTR-01-0050-40-30-0;;;;;2;
32771-100;PTR-03--0050-40-30-0;;;;;2;
32772-100;PTR-02-0050-40-30-0;;;;;2;
32773-100;PTR-01-40-40-30-0;;;;;2;
32774-100;PTR-02-40-40-30-0;;;;;2;
32775-100;F245661122-0;;;;;;5
32776-100;F245661010-0;;;;;;5
32777-100;F245661022-0;;;;;;5
32778-100;KVN-05-500-40-40-0;;;;;;5
32779-100;KVN-04-500-40-40-0;;;;;;5
32780-100;KVN-04-400-40-40-0;;;;;2;
32781-100;KVN-05-400-40-40-0;;;;;2;
32782-100;KVN-04-500-40-50-0;;;;;;5
32783-100;KVN-05-500-40-50-0;;;;;;5
32784-100;KVN-04-400-40-30-0;;;;;2;
32785-100;KVN-05-400-40-30-0;;;;;2;
32786-100;ESV-01-100-40-31-0;;;;;;5
32787-100;ESV-02-100-40-00-0;;;;;;5
32788-100;ESV-03-100-40-00-0;;;;;;
32789-100;RH1-01-100-40-00-0;;;;;;5
32790-100;RH2-01-100-40-00-0;;;;;;5
32791-100;NCC-02-050-40-30-0;;;;;;5
32792-100;NCC-02-080-40-30-0;;;;;;5
32793-100;THV-02-100-40-00-0;;;;;;5
32794-100;KVN-01-200-40-31-0;;;;;;5
32795-100;ESV-02-150-40-00-0;;;;;;5
32796-100;ESV-03-150-40-00-0;;;;;;5
32797-100;F245661121-0;;;;;;5
32798-100;NCC-02-0100-40-30-0;;;;;;5
32799-100;NCC-15-0100-40-00-0;;;;;;5
32800-100;ESV-02-0300-40-00-0;;;;;2;
32801-100;ULS-01-0050-40-30-0;;;;;;5
32802-100;ULS-01-0100-40-30-0;;;;;;5
32803-100;ELS-02-0300-10-00-0;;;;;;
